frame_number,timestamp,rep_count,state,angle,pose_detected
117,2025-11-02 18:52:10.941,0,up,168.64,True
118,2025-11-02 18:52:10.992,0,up,166.41,True
119,2025-11-02 18:52:11.041,0,up,164.33,True
120,2025-11-02 18:52:11.092,0,up,164.72,True
121,2025-11-02 18:52:11.142,0,up,164.94,True
122,2025-11-02 18:52:11.193,0,up,162.52,True
123,2025-11-02 18:52:11.243,0,up,163.44,True
124,2025-11-02 18:52:11.292,0,up,163.92,True
125,2025-11-02 18:52:11.344,0,up,161.89,True
126,2025-11-02 18:52:11.393,0,up,155.75,True
127,2025-11-02 18:52:11.445,0,up,152.27,True
128,2025-11-02 18:52:11.492,0,up,153.54,True
129,2025-11-02 18:52:11.544,0,up,157.38,True
130,2025-11-02 18:52:11.594,0,up,157.48,True
131,2025-11-02 18:52:11.645,0,up,163.97,True
132,2025-11-02 18:52:11.699,0,up,157.28,True
133,2025-11-02 18:52:11.745,0,up,154.67,True
134,2025-11-02 18:52:11.797,0,up,156.12,True
135,2025-11-02 18:52:11.845,0,up,157.44,True
136,2025-11-02 18:52:11.897,0,up,157.86,True
137,2025-11-02 18:52:11.948,0,up,157.08,True
138,2025-11-02 18:52:11.997,0,up,164.90,True
139,2025-11-02 18:52:12.048,0,up,175.27,True
140,2025-11-02 18:52:12.096,0,up,174.62,True
141,2025-11-02 18:52:12.149,0,up,168.03,True
142,2025-11-02 18:52:12.197,0,up,162.16,True
143,2025-11-02 18:52:12.249,0,up,158.33,True
144,2025-11-02 18:52:12.300,0,up,157.03,True
145,2025-11-02 18:52:12.349,0,up,166.02,True
146,2025-11-02 18:52:12.400,0,up,168.40,True
147,2025-11-02 18:52:12.449,0,up,166.86,True
148,2025-11-02 18:52:12.500,0,up,165.19,True
149,2025-11-02 18:52:12.552,0,up,146.01,True
150,2025-11-02 18:52:12.600,0,up,138.74,True
151,2025-11-02 18:52:12.653,0,up,137.79,True
152,2025-11-02 18:52:12.700,0,up,134.47,True
153,2025-11-02 18:52:12.752,0,up,132.21,True
154,2025-11-02 18:52:12.802,0,up,132.65,True
155,2025-11-02 18:52:12.854,0,up,129.00,True
156,2025-11-02 18:52:12.905,0,up,115.97,True
157,2025-11-02 18:52:12.953,0,up,120.93,True
158,2025-11-02 18:52:13.005,0,up,117.12,True
159,2025-11-02 18:52:13.053,0,up,169.50,True
160,2025-11-02 18:52:13.104,0,up,159.53,True
161,2025-11-02 18:52:13.153,1,down,51.43,True
162,2025-11-02 18:52:13.205,1,down,97.11,True
163,2025-11-02 18:52:13.257,1,down,134.07,True
164,2025-11-02 18:52:13.304,1,down,157.52,True
165,2025-11-02 18:52:13.356,1,down,112.32,True
166,2025-11-02 18:52:13.405,1,down,58.53,True
167,2025-11-02 18:52:13.459,1,down,57.16,True
168,2025-11-02 18:52:13.510,1,down,63.84,True
169,2025-11-02 18:52:13.556,1,down,N/A,False
170,2025-11-02 18:52:13.602,1,down,N/A,False
171,2025-11-02 18:52:13.650,1,down,N/A,False
172,2025-11-02 18:52:13.703,1,down,N/A,False
173,2025-11-02 18:52:13.750,1,down,N/A,False
174,2025-11-02 18:52:13.800,1,down,N/A,False
175,2025-11-02 18:52:13.852,1,down,N/A,False
176,2025-11-02 18:52:13.899,1,down,N/A,False
177,2025-11-02 18:52:13.953,1,down,N/A,False
178,2025-11-02 18:52:13.999,1,down,N/A,False
179,2025-11-02 18:52:14.052,1,down,N/A,False
180,2025-11-02 18:52:14.105,1,down,N/A,False
181,2025-11-02 18:52:14.153,1,down,N/A,False
182,2025-11-02 18:52:14.206,1,down,N/A,False
183,2025-11-02 18:52:14.253,1,down,N/A,False
184,2025-11-02 18:52:14.304,1,down,N/A,False
185,2025-11-02 18:52:14.353,1,down,N/A,False
186,2025-11-02 18:52:14.405,1,down,N/A,False
187,2025-11-02 18:52:14.457,1,down,N/A,False
188,2025-11-02 18:52:14.505,1,down,N/A,False
189,2025-11-02 18:52:14.557,1,down,N/A,False
190,2025-11-02 18:52:14.605,1,down,N/A,False
191,2025-11-02 18:52:14.657,1,down,N/A,False
192,2025-11-02 18:52:14.705,1,down,N/A,False
193,2025-11-02 18:52:14.756,1,down,N/A,False
194,2025-11-02 18:52:14.808,1,down,N/A,False
195,2025-11-02 18:52:14.856,1,down,N/A,False
196,2025-11-02 18:52:14.908,1,down,N/A,False
197,2025-11-02 18:52:14.956,1,down,N/A,False
198,2025-11-02 18:52:15.008,1,down,N/A,False
199,2025-11-02 18:52:15.062,1,down,N/A,False
200,2025-11-02 18:52:15.109,1,down,N/A,False
201,2025-11-02 18:52:15.162,1,down,N/A,False
202,2025-11-02 18:52:15.210,1,down,N/A,False
203,2025-11-02 18:52:15.262,1,down,N/A,False
204,2025-11-02 18:52:15.310,1,down,N/A,False
205,2025-11-02 18:52:15.360,1,down,N/A,False
206,2025-11-02 18:52:15.414,1,down,N/A,False
207,2025-11-02 18:52:15.461,1,down,N/A,False
208,2025-11-02 18:52:15.531,1,down,151.10,True
209,2025-11-02 18:52:15.568,1,down,153.06,True
210,2025-11-02 18:52:15.619,1,down,156.43,True
211,2025-11-02 18:52:15.671,1,up,160.49,True
212,2025-11-02 18:52:15.719,1,up,160.87,True
213,2025-11-02 18:52:15.770,1,up,163.11,True
214,2025-11-02 18:52:15.819,1,up,163.75,True
215,2025-11-02 18:52:15.870,1,up,160.27,True
216,2025-11-02 18:52:15.919,1,up,158.38,True
217,2025-11-02 18:52:15.971,1,up,157.99,True
218,2025-11-02 18:52:16.024,1,up,155.69,True
219,2025-11-02 18:52:16.070,1,up,154.66,True
220,2025-11-02 18:52:16.123,1,up,155.18,True
221,2025-11-02 18:52:16.171,1,up,155.70,True
222,2025-11-02 18:52:16.222,1,up,156.23,True
223,2025-11-02 18:52:16.271,1,up,156.37,True
224,2025-11-02 18:52:16.322,1,up,157.39,True
225,2025-11-02 18:52:16.374,1,up,157.27,True
226,2025-11-02 18:52:16.422,1,up,156.75,True
227,2025-11-02 18:52:16.474,1,up,156.71,True
228,2025-11-02 18:52:16.522,1,up,156.94,True
229,2025-11-02 18:52:16.575,1,up,156.26,True
230,2025-11-02 18:52:16.627,1,up,155.77,True
231,2025-11-02 18:52:16.676,1,up,156.07,True
232,2025-11-02 18:52:16.726,1,up,157.23,True
233,2025-11-02 18:52:16.774,1,up,158.32,True
234,2025-11-02 18:52:16.826,1,up,158.64,True
235,2025-11-02 18:52:16.874,1,up,157.44,True
236,2025-11-02 18:52:16.927,1,up,155.44,True
237,2025-11-02 18:52:16.979,1,up,152.13,True
238,2025-11-02 18:52:17.026,1,up,145.54,True
239,2025-11-02 18:52:17.079,1,up,128.76,True
240,2025-11-02 18:52:17.127,1,up,111.98,True
241,2025-11-02 18:52:17.179,1,up,96.64,True
242,2025-11-02 18:52:17.231,1,up,83.16,True
243,2025-11-02 18:52:17.280,1,up,74.13,True
244,2025-11-02 18:52:17.330,2,down,65.96,True
245,2025-11-02 18:52:17.377,2,down,59.39,True
246,2025-11-02 18:52:17.430,2,down,54.39,True
247,2025-11-02 18:52:17.479,2,down,50.14,True
248,2025-11-02 18:52:17.530,2,down,46.07,True
249,2025-11-02 18:52:17.582,2,down,44.90,True
250,2025-11-02 18:52:17.631,2,down,45.48,True
251,2025-11-02 18:52:17.683,2,down,47.46,True
252,2025-11-02 18:52:17.730,2,down,52.03,True
253,2025-11-02 18:52:17.782,2,down,57.25,True
254,2025-11-02 18:52:17.832,2,down,67.41,True
255,2025-11-02 18:52:17.884,2,down,85.43,True
256,2025-11-02 18:52:17.935,2,down,101.07,True
257,2025-11-02 18:52:17.983,2,down,116.18,True
258,2025-11-02 18:52:18.034,2,down,131.75,True
259,2025-11-02 18:52:18.085,2,down,141.19,True
260,2025-11-02 18:52:18.136,2,down,145.46,True
261,2025-11-02 18:52:18.189,2,down,150.40,True
262,2025-11-02 18:52:18.235,2,down,156.30,True
263,2025-11-02 18:52:18.286,2,up,160.69,True
264,2025-11-02 18:52:18.334,2,up,162.77,True
265,2025-11-02 18:52:18.387,2,up,163.15,True
266,2025-11-02 18:52:18.435,2,up,162.40,True
267,2025-11-02 18:52:18.487,2,up,161.25,True
268,2025-11-02 18:52:18.539,2,up,159.32,True
269,2025-11-02 18:52:18.588,2,up,153.50,True
270,2025-11-02 18:52:18.638,2,up,146.80,True
